   6.00 KB	gcc-11-multilib
   6.00 KB	librust-libz-sys+default-dev
   6.00 KB	libtinfo-dev
   8.00 KB	gcc-multilib
   9.00 KB	libjpeg8
   9.00 KB	librust-flate2+libz-sys-dev
   9.00 KB	librust-flate2+rust-backend-dev
  11.00 KB	python3-neovim
  11.00 KB	x11proto-core-dev
  12.00 KB	libjs-inherits
  13.00 KB	node-is-typedarray
  14.00 KB	libc++-dev
  14.00 KB	libjs-is-typedarray
  14.00 KB	node-typedarray-to-buffer
  14.00 KB	node-wrappy
  15.00 KB	node-arrify
  15.00 KB	node-builtins
  15.00 KB	node-has-unicode
  15.00 KB	node-inflight
  15.00 KB	node-isarray
  15.00 KB	node-json-buffer
  15.00 KB	node-lowercase-keys
  15.00 KB	node-path-is-absolute
  15.00 KB	node-process-nextick-args
  15.00 KB	node-set-blocking
  15.00 KB	node-slash
  15.00 KB	node-spdx-exceptions
  15.00 KB	node-universalify
  16.00 KB	g++
  16.00 KB	node-ansistyles
  16.00 KB	node-escape-string-regexp
  16.00 KB	node-has-flag
  16.00 KB	node-indent-string
  16.00 KB	node-inherits
  16.00 KB	node-is-plain-obj
  16.00 KB	node-once
  16.00 KB	node-strip-ansi
  16.00 KB	node-wide-align
  16.00 KB	show-motd
  17.00 KB	libjs-typedarray-to-buffer
  17.00 KB	librust-winapi-i686-pc-windows-gnu-dev
  17.00 KB	librust-winapi-x86-64-pc-windows-gnu-dev
  17.00 KB	mime-support
  17.00 KB	node-ansi-regex
  17.00 KB	node-clean-yaml-object
  17.00 KB	node-console-control-strings
  17.00 KB	node-core-util-is
  17.00 KB	node-decompress-response
  17.00 KB	node-is-buffer
  17.00 KB	node-object-assign
  17.00 KB	node-validate-npm-package-license
  18.00 KB	libpthread-stubs0-dev
  18.00 KB	node-chownr
  18.00 KB	node-defaults
  18.00 KB	node-encoding
  18.00 KB	node-log-driver
  18.00 KB	node-move-concurrently
  18.00 KB	node-promise-retry
  18.00 KB	node-pump
  18.00 KB	node-run-queue
  18.00 KB	node-time-stamp
  18.00 KB	node-validate-npm-package-name
  18.00 KB	python3-debconf
  18.00 KB	tpm-udev
  19.00 KB	libnet-smtp-ssl-perl
  19.00 KB	node-aproba
  19.00 KB	node-archy
  19.00 KB	node-delegates
  19.00 KB	node-err-code
  19.00 KB	node-foreground-child
  19.00 KB	node-iferr
  19.00 KB	node-promise-inflight
  19.00 KB	node-text-table
  19.00 KB	node-unique-filename
  19.00 KB	node-util-deprecate
  19.00 KB	systemd-hwe-hwdb
  20.00 KB	distro-info-data
  20.00 KB	libglvnd-dev
  20.00 KB	node-delayed-stream
  20.00 KB	node-fs-write-stream-atomic
  20.00 KB	node-mimic-response
  20.00 KB	node-promzard
  20.00 KB	node-read
  20.00 KB	node-stealthy-require
  21.00 KB	build-essential
  21.00 KB	node-abbrev
  21.00 KB	node-balanced-match
  21.00 KB	node-end-of-stream
  21.00 KB	node-events
  21.00 KB	node-get-stream
  21.00 KB	node-kind-of
  21.00 KB	node-ms
  21.00 KB	node-quick-lru
  21.00 KB	node-tmatch
  21.00 KB	node-wcwidth.js
  22.00 KB	init
  22.00 KB	libopengl-dev
  22.00 KB	node-brace-expansion
  22.00 KB	node-ini
  22.00 KB	node-ip-regex
  22.00 KB	node-lcov-parse
  22.00 KB	node-osenv
  22.00 KB	node-p-cancelable
  22.00 KB	tcl
  22.00 KB	update-motd
  23.00 KB	libaudit-common
  24.00 KB	lxd-agent-loader
  24.00 KB	node-clone
  24.00 KB	node-copy-concurrently
  24.00 KB	node-isexe
  24.00 KB	node-spdx-correct
  25.00 KB	cloud-initramfs-copymods
  25.00 KB	eatmydata
  25.00 KB	libtext-wrapi18n-perl
  25.00 KB	node-abab
  25.00 KB	node-fs.realpath
  25.00 KB	node-mute-stream
  25.00 KB	powermgmt-base
  25.00 KB	wsl-setup
  26.00 KB	ftp
  26.00 KB	node-color-name
  26.00 KB	node-growl
  26.00 KB	node-npm-bundled
  26.00 KB	node-string-decoder
  26.00 KB	node-supports-color
  27.00 KB	bsdmainutils
  27.00 KB	liblwp-protocol-https-perl
  27.00 KB	node-combined-stream
  27.00 KB	node-opener
  27.00 KB	node-signal-exit
  27.00 KB	node-spdx-license-ids
  27.00 KB	perl-openssl-defaults
  27.00 KB	python3-zipp
  27.00 KB	python3.8-venv
  28.00 KB	node-function-bind
  28.00 KB	node-imurmurhash
  28.00 KB	node-json-parse-better-errors
  28.00 KB	node-npm-package-arg
  28.00 KB	node-stack-utils
  28.00 KB	pipewire
  29.00 KB	libhttp-date-perl
  29.00 KB	node-mime-types
  29.00 KB	node-sprintf-js
  29.00 KB	policykit-1
  29.00 KB	secureboot-db
  30.00 KB	finalrd
  30.00 KB	libinih1
  30.00 KB	libxshmfence1
  30.00 KB	node-spdx-expression-parse
  30.00 KB	node-which
  30.00 KB	zerofree
  31.00 KB	cloud-initramfs-dyn-netconf
  31.00 KB	libestr0
  31.00 KB	libfile-listing-perl
  31.00 KB	libhtml-tagset-perl
  31.00 KB	libxdamage1
  31.00 KB	node-ansi-styles
  31.00 KB	node-p-map
  31.00 KB	node-slice-ansi
  31.00 KB	node-write-file-atomic
  31.00 KB	node-yallist
  32.00 KB	libencode-locale-perl
  32.00 KB	libqmi-proxy
  32.00 KB	libtirpc-common
  32.00 KB	libxcomposite1
  33.00 KB	javascript-common
  33.00 KB	libmbim-proxy
  33.00 KB	libtie-ixhash-perl
  33.00 KB	node-hosted-git-info
  33.00 KB	node-npmlog
  34.00 KB	libblockdev-loop2
  34.00 KB	libhttp-negotiate-perl
  34.00 KB	libwayland-egl1
  34.00 KB	mysql-common
  34.00 KB	node-are-we-there-yet
  34.00 KB	node-depd
  34.00 KB	node-ip
  34.00 KB	sg3-utils-udev
  35.00 KB	libblockdev-part-err2
  35.00 KB	libwebpdemux2
  35.00 KB	libwww-robotrules-perl
  35.00 KB	libxau6
  35.00 KB	node-lru-cache
  35.00 KB	node-read-package-json
  35.00 KB	python3-distro-info
  36.00 KB	libxcb-present0
  36.00 KB	libxcb-shm0
  36.00 KB	node-mkdirp
  36.00 KB	node-nopt
  37.00 KB	command-not-found
  37.00 KB	libaio1
  37.00 KB	libsemanage-common
  37.00 KB	libxcb-shape0
  37.00 KB	libxinerama1
  37.00 KB	node-color-convert
  38.00 KB	node-form-data
  39.00 KB	lib32atomic1
  39.00 KB	libeatmydata1
  39.00 KB	libfile-basedir-perl
  39.00 KB	libnotify-bin
  39.00 KB	libpython3-stdlib
  39.00 KB	libxxf86vm1
  39.00 KB	lto-disabled-list
  39.00 KB	node-retry
  40.00 KB	libio-html-perl
  40.00 KB	libnpth0
  40.00 KB	libxv1
  40.00 KB	node-fancy-log
  40.00 KB	node-minimist
  40.00 KB	node-rimraf
  40.00 KB	python3-constantly
  40.00 KB	ros-environment
  41.00 KB	libdebuginfod-common
  41.00 KB	libxmuu1
  41.00 KB	netbase
  41.00 KB	node-asynckit
  41.00 KB	node-punycode
  41.00 KB	ubuntu-keyring
  42.00 KB	libalgorithm-merge-perl
  42.00 KB	libroslib-dev
  42.00 KB	libsensors-config
  42.00 KB	node-jsonparse
  42.00 KB	packages-microsoft-prod
  43.00 KB	libasyncns0
  43.00 KB	libblockdev-swap2
  43.00 KB	libclone-perl
  43.00 KB	libjs-events
  43.00 KB	libx32atomic1
  43.00 KB	libxdmcp6
  43.00 KB	libxxf86dga1
  43.00 KB	node-asap
  44.00 KB	libatk1.0-data
  44.00 KB	libjson-glib-1.0-common
  44.00 KB	libpaper-utils
  44.00 KB	python3-json-pointer
  44.00 KB	run-one
  45.00 KB	friendly-recovery
  45.00 KB	libatomic1
  45.00 KB	libcap-ng0
  45.00 KB	libdrm-common
  45.00 KB	libgdbm-compat4
  45.00 KB	libjs-sprintf-js
  45.00 KB	libpam-cap
  45.00 KB	libtext-charwidth-perl
  45.00 KB	node-chalk
  45.00 KB	node-graceful-fs
  45.00 KB	node-normalize-package-data
  45.00 KB	whoopsie-preferences
  46.00 KB	libxcb-dri2-0
  46.00 KB	libxcb-dri3-0
  47.00 KB	libfile-desktopentry-perl
  47.00 KB	libkeyutils1
  47.00 KB	libmnl0
  48.00 KB	libnfnetlink0
  48.00 KB	librust-cfg-if-0.1-dev
  48.00 KB	librust-cfg-if-dev
  48.00 KB	libsecret-common
  48.00 KB	libtry-tiny-perl
  48.00 KB	libxtst6
  48.00 KB	motd-news-config
  48.00 KB	node-columnify
  48.00 KB	node-debug
  48.00 KB	node-source-map-support
  49.00 KB	libftp4
  49.00 KB	libpython3-dev
  49.00 KB	libsigsegv2
  49.00 KB	tcl8.6
  50.00 KB	gcc
  50.00 KB	libalgorithm-diff-xs-perl
  50.00 KB	libfontenc1
  50.00 KB	libhttp-cookies-perl
  50.00 KB	libijs-0.35
  50.00 KB	python3-markupsafe
  50.00 KB	session-migration
  51.00 KB	hostname
  51.00 KB	libutempter0
  51.00 KB	libxfixes3
  51.00 KB	node-coveralls
  51.00 KB	python3-magic
  52.00 KB	iputils-tracepath
  52.00 KB	libtext-iconv-perl
  52.00 KB	libtss2-tcti-device0
  52.00 KB	node-minimatch
  52.00 KB	node-negotiator
  53.00 KB	node-safe-buffer
  53.00 KB	python3-service-identity
  53.00 KB	ssh-import-id
  53.00 KB	ubuntu-minimal
  53.00 KB	ubuntu-standard
  53.00 KB	ubuntu-wsl
  54.00 KB	libmsgpackc2
  54.00 KB	libwayland-cursor0
  54.00 KB	libxau-dev
  54.00 KB	python3-netifaces
  55.00 KB	libsm6
  55.00 KB	node-gauge
  55.00 KB	python3-blinker
  56.00 KB	libargon2-1
  56.00 KB	libgdk-pixbuf2.0-common
  56.00 KB	libhttp-daemon-perl
  56.00 KB	libtss2-tcti-mssim0
  56.00 KB	libtss2-tcti-swtpm0
  56.00 KB	python3-secretstorage
  57.00 KB	libattr1
  57.00 KB	libtss2-tcti-cmd0
  58.00 KB	lsb-base
  58.00 KB	pollinate
  59.00 KB	liblocale-gettext-perl
  59.00 KB	libxcb-sync1
  59.00 KB	python3-commandnotfound
  59.00 KB	python3-jsonpatch
  59.00 KB	python3-ptyprocess
  59.00 KB	python3-six
  59.00 KB	sensible-utils
  59.00 KB	xclip
  60.00 KB	libblockdev-utils2
  60.00 KB	libxcb-xfixes0
  60.00 KB	node-ssri
  61.00 KB	apport-symptoms
  61.00 KB	libipc-system-simple-perl
  61.00 KB	libnet-http-perl
  61.00 KB	libnl-genl-3-200
  61.00 KB	libpciaccess0
  61.00 KB	node-whatwg-fetch
  62.00 KB	emacsen-common
  62.00 KB	libhtml-form-perl
  62.00 KB	libogg0
  63.00 KB	fonts-ubuntu-console
  63.00 KB	libdatrie1
  63.00 KB	libtermkey1
  63.00 KB	libwebpmux3
  63.00 KB	libxcursor1
  63.00 KB	linux-base
  64.00 KB	libblockdev-part2
  64.00 KB	libdata-dump-perl
  64.00 KB	libglvnd-core-dev
  64.00 KB	libpaper1
  64.00 KB	librust-adler-dev
  64.00 KB	librust-autocfg-dev
  64.00 KB	librust-libz-sys-dev
  64.00 KB	librust-vcpkg-dev
  64.00 KB	libxvmc1
  65.00 KB	cloud-guest-utils
  65.00 KB	libcap2
  65.00 KB	libdebuginfod1
  65.00 KB	libgpm2
  65.00 KB	pkexec
  66.00 KB	libnotify4
  66.00 KB	lsb-release
  66.00 KB	overlayroot
  67.00 KB	cpp
  67.00 KB	libacl1
  67.00 KB	libfreetype6-dev
  67.00 KB	libxdmcp-dev
  67.00 KB	python3-importlib-metadata
  68.00 KB	libpipeline1
  68.00 KB	libpwquality-common
  68.00 KB	libxrender1
  68.00 KB	node-colors
  69.00 KB	distro-info
  69.00 KB	libfastjson4
  69.00 KB	libffi8
  69.00 KB	libfont-afm-perl
  69.00 KB	libgudev-1.0-0
  69.00 KB	libxrandr2
  69.00 KB	networkd-dispatcher
  69.00 KB	node-tap-parser
  70.00 KB	python3-gencpp
  70.00 KB	sgml-base
  71.00 KB	libblockdev-crypto2
  71.00 KB	liberror-perl
  71.00 KB	libmd0
  71.00 KB	libnuma1
  72.00 KB	liblwp-mediatypes-perl
  72.00 KB	whiptail
  73.00 KB	libdbaudiolib0
  73.00 KB	libportaudiocpp0
  74.00 KB	libgl1-mesa-dev
  74.00 KB	libgles1
  74.00 KB	liblqr-1-0
  75.00 KB	node-cssom
  75.00 KB	python3-lazr.uri
  76.00 KB	libmaxminddb0
  77.00 KB	fwupd-signed
  77.00 KB	libdevmapper-event1.02.1
  77.00 KB	libnss-nisplus
  77.00 KB	python3-distro
  77.00 KB	xauth
  78.00 KB	libann0
  78.00 KB	xorg-sgml-doctools
  79.00 KB	libdebconfclient0
  80.00 KB	libpolkit-agent-1-0
  80.00 KB	python3-genlisp
  80.00 KB	readline-common
  81.00 KB	libblockdev-fs2
  82.00 KB	libatasmart4
  82.00 KB	libcdt5
  82.00 KB	libdrm-nouveau2
  82.00 KB	libjbig0
  82.00 KB	librust-pkg-config-dev
  82.00 KB	plymouth-theme-ubuntu-text
  82.00 KB	python3-jwt
  82.00 KB	update-inetd
  83.00 KB	dconf-gsettings-backend
  83.00 KB	libcbor0.8
  83.00 KB	libgdk-pixbuf2.0-bin
  83.00 KB	libip4tc2
  83.00 KB	libip6tc2
  83.00 KB	python3-pymacaroons
  83.00 KB	sysvinit-utils
  83.00 KB	ubuntu-advantage-tools
  84.00 KB	file
  84.00 KB	libdrm-amdgpu1
  84.00 KB	libnss-nis
  85.00 KB	libvterm0
  85.00 KB	libwayland-client0
  85.00 KB	libx11-xcb1
  85.00 KB	slirp4netns
  86.00 KB	libpathplan4
  86.00 KB	libxcb-render0
  87.00 KB	libsm-dev
  87.00 KB	python3-gdbm
  88.00 KB	mailcap
  89.00 KB	libglx-dev
  89.00 KB	librsvg2-common
  90.00 KB	apt-file
  90.00 KB	fuse3
  90.00 KB	libgcab-1.0-0
  90.00 KB	libpci3
  90.00 KB	python3
  90.00 KB	python3-bcrypt
  91.00 KB	clang-12-examples
  91.00 KB	libjansson4
  91.00 KB	node-https-proxy-agent
  91.00 KB	python3-colorama
  91.00 KB	switcheroo-control
  92.00 KB	node-webidl-conversions
  92.00 KB	pinentry-curses
  92.00 KB	ubuntu-pro-client-l10n
  92.00 KB	whoopsie
  93.00 KB	libexporter-tiny-perl
  93.00 KB	libsasl2-modules-db
  94.00 KB	usb-modeswitch-data
  95.00 KB	libdrm-radeon1
  95.00 KB	libpsl5
  96.00 KB	libjcat1
  96.00 KB	liblist-moreutils-perl
  96.00 KB	libmspack0
  96.00 KB	libsensors5
  96.00 KB	libunibilium4
  97.00 KB	libgusb2
  97.00 KB	libxxhash0
  97.00 KB	logsave
  97.00 KB	media-types
  98.00 KB	libjson-c5
