PKG	VERSION	ARCH	SIZE_BYTES	SIZE_HUMAN	MANUAL	DEPENDS	RDEPS_COUNT
accountsservice	22.07.5-2ubuntu1.4	amd64	512000	500.00 KB	0	dbus (>= 1.9.18), libaccountsservice0 (= 22.07.5-2ubuntu1.4), libc6 (>= 2.34), libglib2.0-0 (>= 2.63.5), libpolkit-gobject-1-0 (>= 0.99)	0
acl	2.3.1-1	amd64	204800	200.00 KB	0	libacl1 (= 2.3.1-1), libc6 (>= 2.34)	2
adduser	3.118ubuntu5	all	622592	608.00 KB	0	passwd, debconf (>= 0.5) | debconf-2.0	19
adwaita-icon-theme	41.0-1ubuntu1	all	5359616	5.11 MB	0	hicolor-icon-theme, gtk-update-icon-cache, ubuntu-mono | adwaita-icon-theme-full	3
alsa-topology-conf	1.2.5.1-2	all	430080	420.00 KB	0	-	1
alsa-ucm-conf	1.2.6.3-1ubuntu1.12	all	613376	599.00 KB	0	libasound2 (>= 1.2.4)	1
apg	2.2.3.dfsg.1-5build2	amd64	116736	114.00 KB	0	libc6 (>= 2.34), libcrypt1 (>= 1:4.1.0)	0
apparmor	3.0.4-2ubuntu2.4	amd64	2744320	2.62 MB	0	debconf, lsb-base, debconf (>= 0.5) | debconf-2.0, libc6 (>= 2.34)	7
apport	2.20.11-0ubuntu82.10	all	835584	816.00 KB	1	python3, python3-apport (>= 2.20.11-0ubuntu82.10), lsb-base (>= 3.0-6), python3-gi, gir1.2-glib-2.0 (>= 1.29.17)	4
apport-symptoms	0.24	all	62464	61.00 KB	0	-	1
apt	2.4.14	amd64	4240384	4.04 MB	0	adduser, gpgv | gpgv2 | gpgv1, libapt-pkg6.0 (>= 2.4.14), ubuntu-keyring, libc6 (>= 2.34), libgcc-s1 (>= 3.3.1), libgnutls30 (>= 3.7.0), libseccomp2 (>= 2.4.2), libstdc++6 (>= 11), libsystemd0	9
apt-file	3.2.2	all	92160	90.00 KB	1	perl:any, apt (>= 1.3~exp1~), libapt-pkg-perl, liblist-moreutils-perl, libregexp-assemble-perl	0
apt-utils	2.4.14	amd64	811008	792.00 KB	0	apt (= 2.4.14), libapt-pkg6.0 (>= 2.4.14), libc6 (>= 2.34), libdb5.3, libgcc-s1 (>= 3.3.1), libstdc++6 (>= 11)	3
aptdaemon	1.1.1+bzr982-0ubuntu39	all	180224	176.00 KB	0	python3:any (>= 3.2~), gir1.2-glib-2.0, python3-aptdaemon (= 1.1.1+bzr982-0ubuntu39), python3-gi, policykit-1	0
aspell-en	2018.04.16-0-1	all	434176	424.00 KB	0	aspell (>= 0.60.3-2), dictionaries-common (>= 0.49.2)	0
at	3.2.5-1ubuntu1	amd64	165888	162.00 KB	1	libpam-runtime (>= 1.0.1-11), lsb-base (>= 3.2-14), libc6 (>= 2.34), libpam0g (>= 0.99.7.1), libselinux1 (>= 3.1~)	0
at-spi2-core	2.44.0-3	amd64	282624	276.00 KB	0	libatspi2.0-0 (>= 2.9.90), libc6 (>= 2.34), libdbus-1-3 (>= 1.9.14), libglib2.0-0 (>= 2.67.4), libsystemd0, libx11-6, libxtst6, gsettings-desktop-schemas	1
autoconf	2.71-2	all	2080768	1.98 MB	0	perl (>> 5.005), m4 (>= 1.4.13), debianutils (>= 1.8)	1
avahi-daemon	0.8-5ubuntu5.1	amd64	304128	297.00 KB	0	libavahi-common3 (= 0.8-5ubuntu5.1), libavahi-core7 (= 0.8-5ubuntu5.1), libc6 (>= 2.34), libcap2 (>= 1:2.16), libdaemon0 (>= 0.14), libdbus-1-3 (>= 1.9.14), libexpat1 (>= 2.0.1), adduser, dbus (>= 0.60), lsb-base (>= 3.0-6), bind9-host | host	1
base-files	12ubuntu4.7	amd64	404480	395.00 KB	1	libc6 (>= 2.34), libcrypt1 (>= 1:4.4.10-10ubuntu3)	3
base-passwd	3.5.52build1	amd64	248832	243.00 KB	1	libc6 (>= 2.34), libdebconfclient0 (>= 0.145)	0
bash	5.1-6ubuntu1.1	amd64	1908736	1.82 MB	1	base-files (>= 2.1.12), debianutils (>= 2.15)	0
bash-completion	1:2.11-5ubuntu1	all	1499136	1.43 MB	0	-	6
bc	1.07.1-3build1	amd64	220160	215.00 KB	0	libc6 (>= 2.34), libreadline8 (>= 6.0)	2
bcache-tools	1.0.8-4ubuntu3	amd64	109568	107.00 KB	1	libblkid1 (>= 2.17.2), libc6 (>= 2.34), libuuid1 (>= 2.16), gawk	0
bind9-dnsutils	1:9.18.30-0ubuntu0.22.04.2	amd64	544768	532.00 KB	0	bind9-host | host, bind9-libs (= 1:9.18.30-0ubuntu0.22.04.2), libc6 (>= 2.34), libedit2 (>= 2.11-20080614-0), libidn2-0 (>= 2.0.0), libkrb5-3 (>= 1.6.dfsg.2)	1
bind9-host	1:9.18.30-0ubuntu0.22.04.2	amd64	188416	184.00 KB	0	bind9-libs (= 1:9.18.30-0ubuntu0.22.04.2), libc6 (>= 2.34), libidn2-0 (>= 2.0.0)	1
bind9-libs	1:9.18.30-0ubuntu0.22.04.2	amd64	3569664	3.40 MB	0	libc6 (>= 2.34), libgssapi-krb5-2 (>= 1.17), libjson-c5 (>= 0.15), libkrb5-3 (>= 1.6.dfsg.2), liblmdb0 (>= 0.9.7), libmaxminddb0 (>= 1.3.0), libnghttp2-14 (>= 1.12.0), libssl3 (>= 3.0.0~~alpha1), libuv1 (>= 1.34.2), libxml2 (>= 2.7.4), zlib1g (>= 1:1.1.4)	2
binfmt-support	2.2.1-2	amd64	199680	195.00 KB	0	lsb-base (>= 4.1+Debian3), libc6 (>= 2.34), libpipeline1 (>= 1.0.0)	4
binutils	2.38-4ubuntu2.8	amd64	116736	114.00 KB	0	binutils-common (= 2.38-4ubuntu2.8), libbinutils (= 2.38-4ubuntu2.8), binutils-x86-64-linux-gnu (= 2.38-4ubuntu2.8)	12
